Seeker_ID,Job_ID
2,9
17,51
24,1
27,69
28,16
30,27
31,51
33,19
37,3
43,67
60,52
64,19
67,62
77,45
78,2
84,9
88,45
96,52
99,18
103,52
120,25
127,7
129,1
131,12
150,55
155,53
157,25
158,51
171,26
174,45
175,19
177,52
178,67
198,55
206,68
209,52
244,69
252,27
261,1
272,18
281,33
288,68
295,18
307,51
329,45
334,19
339,45
380,7
381,27
386,9
397,42
