Seeker_ID,Job_ID
2,9
17,51
24,1
27,69
28,16
31,51
33,19
36,68
37,3
43,67
60,52
64,19
67,62
77,45
78,2
81,18
84,9
88,45
96,52
103,52
120,25
127,7
129,1
131,12
150,55
155,53
157,25
158,51
169,51
171,26
174,45
175,19
177,52
193,67
198,55
209,52
244,69
247,27
252,27
261,1
279,68
280,18
281,33
290,47
292,27
295,18
307,51
329,45
330,6
334,19
339,45
380,7
386,9
397,42
