Seeker_ID,Job_ID
2,9
17,51
24,1
27,69
28,16
30,27
31,51
37,3
60,52
64,19
67,62
77,45
78,2
84,9
88,45
96,52
99,18
103,52
120,25
127,7
131,12
150,55
155,53
158,51
171,26
174,45
175,19
177,52
178,67
193,67
198,55
206,68
209,52
244,69
252,27
261,1
272,18
279,68
295,18
307,51
329,45
334,19
339,45
381,27
397,42
